id	parent_id	language	ontology	other_parents	label	definition	ul_label	ui_definition	ui_help	deprecated	replaced_by	oboInOwl_hasSynonym	oboInOwl_hasBroadSynonym	oboInOwl_hasExactSynonym	oboInOwl_hasNarrowSynonym	IAO_0000118
MA:0000501	MA:0000495		adult_mouse_anatomy.gxd	MA:0000526	lower back connective tissue											
MA:0000507	MA:0000495		adult_mouse_anatomy.gxd	MA:0000560	upper back connective tissue											
MA:0000526	MA:0000513		adult_mouse_anatomy.gxd		abdominal segment connective tissue											
MA:0000495	MA:0000513		adult_mouse_anatomy.gxd		back connective tissue											
MA:0000560	MA:0000513		adult_mouse_anatomy.gxd		thoracic segment connective tissue											
MA:0000519	MA:0000526		adult_mouse_anatomy.gxd		abdomen connective tissue											
MA:0000533	MA:0000526		adult_mouse_anatomy.gxd		pelvis connective tissue											
MA:0002948	MA:0000533		adult_mouse_anatomy.gxd		pelvis ligament											
MA:0000550	MA:0000560		adult_mouse_anatomy.gxd		chest connective tissue											
MA:0000555	MA:0000560		adult_mouse_anatomy.gxd		thoracic cavity connective tissue											
MA:0000566	MA:0000565		adult_mouse_anatomy.gxd		parietal mesothelium											
MA:0000567	MA:0000565		adult_mouse_anatomy.gxd		visceral mesothelium											
MA:0000577	MA:0000570		adult_mouse_anatomy.gxd		head connective tissue											
MA:0000585	MA:0000570		adult_mouse_anatomy.gxd		neck connective tissue											
MA:0000586	MA:0000585		adult_mouse_anatomy.gxd		neck cartilage											
MA:0000609	MA:0000593		adult_mouse_anatomy.gxd		elbow connective tissue											
MA:0000599	MA:0000593		adult_mouse_anatomy.gxd		lower arm connective tissue											
MA:0000605	MA:0000593		adult_mouse_anatomy.gxd		upper arm connective tissue											
MA:0000593	MA:0000613		adult_mouse_anatomy.gxd		arm connective tissue											
MA:0000620	MA:0000613		adult_mouse_anatomy.gxd		hand connective tissue											
MA:0000632	MA:0000613		adult_mouse_anatomy.gxd		shoulder connective tissue											
MA:0000636	MA:0000613		adult_mouse_anatomy.gxd		wrist connective tissue											
MA:0000639	MA:0000661		adult_mouse_anatomy.gxd		ankle connective tissue											
MA:0000644	MA:0000661		adult_mouse_anatomy.gxd		foot connective tissue											
MA:0000656	MA:0000661		adult_mouse_anatomy.gxd		hip connective tissue											
MA:0000671	MA:0000661		adult_mouse_anatomy.gxd		leg connective tissue											
MA:0000667	MA:0000671		adult_mouse_anatomy.gxd		knee connective tissue											
MA:0000677	MA:0000671		adult_mouse_anatomy.gxd		lower leg connective tissue											
MA:0000683	MA:0000671		adult_mouse_anatomy.gxd		upper leg connective tissue											
MA:0000613	MA:0000689		adult_mouse_anatomy.gxd		forelimb connective tissue											
MA:0000661	MA:0000689		adult_mouse_anatomy.gxd		hindlimb connective tissue											
MA:0000698	MA:0000697		adult_mouse_anatomy.gxd		tail intervertebral disc											
MA:0002943	MA:0000720		adult_mouse_anatomy.gxd		secretory circumventricular organ											
MA:0003110	MA:0001296		adult_mouse_anatomy.gxd		exorbital lacrimal gland											
MA:0003109	MA:0001296		adult_mouse_anatomy.gxd		intraorbital lacrimal gland											
MA:0001756	MA:0001755		adult_mouse_anatomy.gxd		laryngeal extrinsic ligament											
MA:0001757	MA:0001755		adult_mouse_anatomy.gxd		laryngeal intrinsic ligament											
MA:0001759	MA:0001758		adult_mouse_anatomy.gxd		arytenoid cartilage											
MA:0001762	MA:0001758		adult_mouse_anatomy.gxd		cricoid cartilage											
MA:0001764	MA:0001758		adult_mouse_anatomy.gxd		thyroid cartilage											
MA:0002860	MA:0001820		adult_mouse_anatomy.gxd		lung elastic tissue											
MA:0001861	MA:0001820		adult_mouse_anatomy.gxd		trachea elastic tissue											
MA:0001236	MA:0001911		adult_mouse_anatomy.gxd		aqueous humour											
